,User,Tweet
34,STPI062,"RT @STPIPune: Congratulations M/s. Freestone Technologies LLP, for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupIndi…"
35,STPI062,"RT @stpiindia: AIC STPI Bengaluru Open Challenge Program 3.0

Selected #startups will get complete incubation and mentoring support along w…"
36,TeleLaw_,"Mr. Rahil shares his Tele-Law experience.

Empowering Citizens through Tele-Law - Reaching the Unreached...

#TeleLaw #DigitalIndia #ReachingTheUnreached #DoJ #AccesstoJustice #CSC @MLJ_GoI https://t.co/pi4IszKYgO"
37,AmmaScheme,"RT @CSCegov_: Mahindra Tractors Lead Generation through CSC e-Agri Portal...

Now, VLEs can earn good money on Mahindra's Tractors and Impl…"
38,STPI062,"RT @STPIPune: Congratulations M/s. MMF Systems (India) Pvt. Ltd., for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupI…"
39,AmmaScheme,"RT @CSCegov_: HDFC and #CSC organized a Workshop in Vijayawada District, #AndhraPradesh in the presence of Ms. Smita Bhagat, Country Head,…"
40,STPI062,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
41,STPI062,RT @electropreneur: Quarterly review of #startups done @electropreneur Park #Delhi along with mentoring sessions by mentor and PMG member M…
42,AmmaScheme,"RT @CSCegov_: Study Symposium at #Goa...

Get 25% extra weightage by collecting your sourced policies renewal...

The Star VLE Achievers Ca…"
43,AmmaScheme,"RT @CSCegov_: Haier Wedding Diamond Combo through CSC Grameen eStore...

COMBO PRICE: Rs. 66,750

SHOP NOW ON VLE APP!!

#CSC #DigitalIndia…"
44,AmmaScheme,"RT @CSCegov_: CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Da…"
45,Saritha81838447,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
46,mdjaved144,"RT @RnfiServices: Conduct seamless cross-border remittances with 𝐑𝐞𝐥𝐢𝐩𝐚𝐲’𝐬 𝐈𝐧𝐝𝐨-𝐍𝐞𝐩𝐚𝐥 𝐦𝐨𝐧𝐞𝐲 𝐭𝐫𝐚𝐧𝐬𝐟𝐞𝐫 service. 

#IndoNepal #nepalmoney #mon…"
47,RnfiServices,"Conduct seamless cross-border remittances with 𝐑𝐞𝐥𝐢𝐩𝐚𝐲’𝐬 𝐈𝐧𝐝𝐨-𝐍𝐞𝐩𝐚𝐥 𝐦𝐨𝐧𝐞𝐲 𝐭𝐫𝐚𝐧𝐬𝐟𝐞𝐫 service. 

#IndoNepal #nepalmoney #moneytransfer #bbps #recharge #mobilerecharge #instagram #allservices #aeps #atm #DigitalDukaan #DigitalIndia #RNFI #rnfiservices https://t.co/jLZu9Kq3BD"
48,Ankur22Sharma,@DouglasFeagin @PaytmCybercell @republic @SEBI_India @NSEIndia @BSEIndia @PMOIndia @Paytm @vijayshekhar @Paytmcare @nsitharaman @PaytmPostpaid @Cybercellindia @NDTVProfit @RBIsays 1 Month and still no resolution from Paytm fraud management team!! #DigitalIndia
49,sectest9,"RT @cscfinancial_: Important Advisory For All VLEs!

Follow due procedures and Stay informed..

#cscfinancialservices
#digitalindia
#common…"
50,sectest9,"RT @cscfinancial_: Important Advisory For All VLEs!

Follow due procedures and Stay informed..

#cscfinancialservices
#digitalindia
#common…"
51,CyberSecurityN8,"RT @cscfinancial_: Important Advisory For All VLEs!

Follow due procedures and Stay informed..

#cscfinancialservices
#digitalindia
#common…"
52,AmmaScheme,"RT @cscfinancial_: Important Advisory For All VLEs!

Follow due procedures and Stay informed..

#cscfinancialservices
#digitalindia
#common…"
53,cscfinancial_,"Important Advisory For All VLEs!

Follow due procedures and Stay informed..

#cscfinancialservices
#digitalindia
#commonservicecenters
#hdfcbank
#cybercrime 
#cybersecurity https://t.co/zOUA1oSUzN"
54,CSCTripura,"RT @_DigitalIndia: 📽️ Under an MoU signed between @CSCegov_ and October Cinemas, #CSC plans to open 10000 cinema halls by end of 2024 which…"
55,MohdSul05455469,"RT @CSCegov_: CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Da…"
56,Viral_RaushanKC,"RT @CSCegov_: CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Da…"
57,pradeepmarwaha2,"RT @ComputerShiksh1: connect@computershiksha.org

#DigitalLiteracy #Csr 
#Underprivilege #Children #socialsector #digitalskills #FutureRead…"
58,RShankarNayak,"RT @CSCegov_: CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Da…"
59,BerhampurStpi,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
60,PinkeshZala,"RT @CSCegov_: CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Da…"
61,e_behera,RT @jaimatadikhurda: SBI pine labs devices a step taken by HPCL to fulfill Prime Ministers dream of Digital India. It's very convenient for…
62,JitendraRNagru,"RT @BSNL_RJ: Talk unlimited ( Local/STD) for 336 days .....
#RechargeNow with #BSNL #PV1499
BSNL Portal https://t.co/1Jh2Rr3H3f
BSNL Selfca…"
63,EliteCsc,"RT @CSCegov_: HDFC and #CSC organized a Workshop in Vijayawada District, #AndhraPradesh in the presence of Ms. Smita Bhagat, Country Head,…"
64,KrishnaSingh4U,"RT @CSCegov_: CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Da…"
65,CSCegov_,"CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Dates, and much more.

Visit the CSC Jaankari Suvidha Portal https://t.co/KVE87Vxefg

#CSC #DigitalIndia #RuralEmpowerment #CSCJaankariSuvidhaPortal https://t.co/xRibWf3kVb"
66,EliteCsc,"RT @CSCegov_: Haier Wedding Diamond Combo through CSC Grameen eStore...

COMBO PRICE: Rs. 66,750

SHOP NOW ON VLE APP!!

#CSC #DigitalIndia…"
67,CSCAssam1,"RT @CSCegov_: Haier Wedding Diamond Combo through CSC Grameen eStore...

COMBO PRICE: Rs. 66,750

SHOP NOW ON VLE APP!!

#CSC #DigitalIndia…"
68,chidambara09,"RT @pronteff: Let us be truthful and honest in order to have a corruption-free society to live in. International Anti-Corruption Day!
-
#pr…"
69,Amanshm25,"RT @stpiindia: AIC STPI Bengaluru Open Challenge Program 3.0

Selected #startups will get complete incubation and mentoring support along w…"
70,shivainfotech1,"Freudenberg Nok Pvt Ltd is using Turbo eSigner to Digitally Sign Documents
 #digitalsignature #DigitalSignatureSoftware #pdfsigner #feedbak #bulksigner #DigitalIndia #dsctoken #turboesigner #esignertool #bulkpdfsigner #happycustomers #feedbackcustomer https://t.co/OqeNjLwJnC"
71,NykRewari,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
72,Amanshm25,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
73,Amanshm25,RT @electropreneur: Quarterly review of #startups done @electropreneur Park #Delhi along with mentoring sessions by mentor and PMG member M…
74,amitkureel0304,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
75,Edufu_connect,"Want to transform your college's online presence? @Edufu_connect presents admission &amp; placement solutions for colleges to make them stand out from the crowd. Think online, Think Edufu!
#collegeadmissions #edufu #education #placements #students #indiancolleges #DigitalIndia"
76,ranumookerjee,RT @_DigitalIndia: #DigitalIndia | ABC is envisaged to facilitate the academic mobility of students with the freedom to study across the #H…
77,ranumookerjee,RT @AyushmanNHA: Link and store your #health records with ABHA (#AyushmanBharatHealthAccount ) from your @digilocker_ind app. You can acces…
78,rameshstpi,"RT @stpiindia: AIC STPI Bengaluru Open Challenge Program 3.0

Selected #startups will get complete incubation and mentoring support along w…"
79,INDIAdrive21,"INDIA DRIVE #EDUCATION SEARCH 
#Search for #courses, #colleges, #scholarship and #online #certificates #Universities in #India

https://t.co/DRRLrTFTK2

#BBCTamil #Tamil #DigitalIndia https://t.co/ToEj1C8yJx"
80,rahulssg,"RT @stpiindia: AIC STPI Bengaluru Open Challenge Program 3.0

Selected #startups will get complete incubation and mentoring support along w…"
81,rahulssg,"RT @STPIPune: Congratulations M/s. MMF Systems (India) Pvt. Ltd., for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupI…"
82,rahulssg,"RT @STPIPune: Welcome, M/s. AXEMAN TECHNOLOGY SOLUTIONS LLP! Looking forward to a successful journey ahead. 
#GrowWithSTPI #DigitalIndia #S…"
83,rahulssg,"RT @STPIPune: Congratulations M/s. Freestone Technologies LLP, for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupIndi…"
84,rahulssg,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
85,ranumookerjee,RT @GoI_MeitY: Citizen-centric services like #Aadhaar enrollment &amp; updation facilities are being provided in your nearby #PostOffice. Visit…
86,rameshstpi,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
87,jitenstpi,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
88,ranumookerjee,RT @GoI_MeitY: .@GoI_MeitY is hosting a painting competition for school students in Grades 6 - 12. Participate now! Visit https://t.co/dpJc…
89,KishorTrvedi,"Respect Sri @narendramodi sir

Your initiative and penchant for #DigitalIndia has helped Indians and India in multiple ways be it doing business sharing information communication banking online tasks.

Now can't thi k our life without digital paper pad and pen.

Yet ...
1/4 https://t.co/8nxoZ0t3RD"
90,STPIPune,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
91,ranumookerjee,"RT @GoI_MeitY: #UMANGApp is a delight for readers! 

Under the #IndianCulture service on UMANG App, citizens can read over 12,000 rare book…"
92,Jinubala_V,"RT @STPIPune: Congratulations M/s. Freestone Technologies LLP, for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupIndi…"
93,Bhaweshkj,RT @GoI_MeitY: .@GoI_MeitY is hosting a painting competition for school students in Grades 6 - 12. Participate now! Visit https://t.co/dpJc…
94,UIDAIBengaluru,RT @_DigitalIndia: Citizen-centric services like #Aadhaar enrollment &amp; updation facilities are being provided in your nearby #PostOffice. V…
95,lakshmi_73,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
96,mrinmoy37596741,RT @jaimatadikhurda: SBI pine labs devices a step taken by HPCL to fulfill Prime Ministers dream of Digital India. It's very convenient for…
97,JOGENDERRSINGH,RT @electropreneur: Quarterly review of #startups done @electropreneur Park #Delhi along with mentoring sessions by mentor and PMG member M…
98,StartupNewsIND,RT @prosunjoyi: #ElectricVehicles financing #startup Vidyut - that helps extract a high residual value for #EVs and offers ownership soluti…
99,LohithkumarH3,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
100,RenukaK_stpi,"RT @STPIPune: Congratulations M/s. MMF Systems (India) Pvt. Ltd., for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupI…"
101,Ankur22Sharma,@DouglasFeagin @PaytmCybercell @republic @SEBI_India @NSEIndia @BSEIndia @PMOIndia @Paytm @vijayshekhar @Paytmcare @nsitharaman @PaytmPostpaid @Cybercellindia @NDTVProfit @RBIsays 1 Month and still no resolution from Paytm fraud management team!! #DigitalIndia
102,Webinfotechsol6,"Follow👉webinfotechsolution for more valuable content.
----------------------------------------------------------
Follow👉 @webinfotechsolution 👈
#digitalmakreting #digitalindia #seo #ppc https://t.co/FLeAxNm7Mf"
103,l_Smrity,"RT @TeleLaw_: Mr. Vasukinath Pandey shares his Tele-Law experience.

Empowering Citizens through Tele-Law - Reaching the Unreached...

#Tel…"
104,Darlingvijju,"RT @CSCegov_: HDFC and #CSC organized a Workshop in Vijayawada District, #AndhraPradesh in the presence of Ms. Smita Bhagat, Country Head,…"
105,digi_trekkers,"Here's what we offer :
* Website Development 
* Mobile App Development 
* Web Application Development 

#digitrekkers #businesswebsite #digitalme #digitalwe #digitalindia #websitedevelopment #softwaredevelopment #webapplicationdevelopment #mobileapplicationdevelopment #alibag https://t.co/piyxd2x1rz"
106,satyaprasadkop2,"RT @HPCL: Pay your fuel bills with HP Pay and enjoy complete convenience, security &amp; attractive reward points on every transaction. Downloa…"
107,preventionofsh,RT @prosunjoyi: #ArtificialIntelligence-backed #legaltech #startup Amikus AI - that helps lawyers by automating contract reviews using #AI…
108,businesonsocial,RT @prosunjoyi: #ArtificialIntelligence-backed #legaltech #startup Amikus AI - that helps lawyers by automating contract reviews using #AI…
109,imranjitsaha,"RT @BSNL_RJ: Talk unlimited ( Local/STD) for 336 days .....
#RechargeNow with #BSNL #PV1499
BSNL Portal https://t.co/1Jh2Rr3H3f
BSNL Selfca…"
110,plugingreen,RT @prosunjoyi: #ElectricVehicles financing #startup Vidyut - that helps extract a high residual value for #EVs and offers ownership soluti…
111,HanumanSankhla2,"RT @CSCegov_: HDFC and #CSC organized a Workshop in Vijayawada District, #AndhraPradesh in the presence of Ms. Smita Bhagat, Country Head,…"
112,preventionofsh,RT @prosunjoyi: #ElectricVehicles financing #startup Vidyut - that helps extract a high residual value for #EVs and offers ownership soluti…
113,prosunjoyi,"#ElectricVehicles financing #startup Vidyut - that helps extract a high residual value for #EVs and offers ownership solutions for Mahindra, Altigreen Euler and OSM vehicles - has secured $4 million #funding co-led by Force Ventures and Veda VC. #India #StartupIndia #DigitalIndia"
114,INDIAdrive21,"INDIA DRIVE #EDUCATION SEARCH 
#Search for #courses, #colleges, #scholarship and #online #certificates #Universities in #India

https://t.co/DRRLrTY2Ya

#BBCMarathi #DigitalIndia #Marathi 
https://t.co/ToEj1BRvHx"
115,ammishraLFC,"RT @PankajGupta_WE: India’s ability to create a robust digital payments ecosystem is nothing short of remarkable

#digitalindia #upi #easyp…"
116,StartupNewsIND,RT @prosunjoyi: #ArtificialIntelligence-backed #legaltech #startup Amikus AI - that helps lawyers by automating contract reviews using #AI…
117,prosunjoyi,"#ArtificialIntelligence-backed #legaltech #startup Amikus AI - that helps lawyers by automating contract reviews using #AI to improve efficiency and accuracy - has raised ₹96 lakh+ ~ $116,596 pre-seed #funding from Inflection Point Ventures. #India #StartupIndia #DigitalIndia"
118,chekree,RT @kingslyj: @ECISVEEP @Microsoft @BigRock @cdacindia @rsprasad @Cloudflare @OfficeOfRSP @PMOIndia @rashtrapatibhvn @NCIIPC @Google And if…
119,FutureMaha4,RT @_DigitalIndia: .@GoI_MeitY is hosting a painting competition for school students in Grades 6 - 12. Participate now! Visit https://t.co/…
120,RanjanKD090268,"RT @BSNL_RJ: Talk unlimited ( Local/STD) for 336 days .....
#RechargeNow with #BSNL #PV1499
BSNL Portal https://t.co/1Jh2Rr3H3f
BSNL Selfca…"
121,amitsingh2203,"A car wash person is able to get loan to buy equipments on the basis of his cash flow. It has become possible because he has the proof of cash flow through #UPI transaction. 

What else is reform? 

#DigitalIndia"
122,INDIAdrive21,"INDIA DRIVE #EDUCATION SEARCH 
#Search for #courses, #colleges, #scholarship and #online #certificates #Universities in #India

https://t.co/DRRLrTY2Ya

#BBCGujarati #Gujarati #DigitalIndia 
https://t.co/ToEj1BRvHx"
123,RpatoolsC,"RT @SKodineya: On #ConstitutionDay today, we recall #words of our Hon PM Sh. @NarendraModi ji 🙏 who envisions to make #judiciary #system in…"
124,chuni_swami,"RT @BSNL_RJ: Talk unlimited ( Local/STD) for 336 days .....
#RechargeNow with #BSNL #PV1499
BSNL Portal https://t.co/1Jh2Rr3H3f
BSNL Selfca…"
125,sankalpitbela,"RT @SKodineya: On #ConstitutionDay today, we recall #words of our Hon PM Sh. @NarendraModi ji 🙏 who envisions to make #judiciary #system in…"
126,beefyspace,"RT @SKodineya: #StaySafeOnline #cybersecuritytips 
Don't get #Trapped by #EMAIL #phishing #frauds
#G20India
#DigitalIndia
#DigitalTransform…"
127,sankalpitbela,"RT @SKodineya: #StaySafeOnline #cybersecuritytips 
Don't get #Trapped by #EMAIL #phishing #frauds
#G20India
#DigitalIndia
#DigitalTransform…"
128,sankalpitbela,RT @SKodineya: #INDIAai maintains a repository of most relevant #vital &amp; #interesting #AI #Research currently being conducted around #world…
129,sankalpitbela,RT @SKodineya: #Hundreds of #Central &amp; #State #Govt Depts are available on #APISetu providing #access to numerous #API for #Data points suc…
130,eventsocialin,"RT @prosunjoyi: #VentureCapital firm Blume Ventures -that focuses on early-stage, technology-led #startups in sectors such as #edtech, #fin…"
131,mkumar939,@Airtel_Presence @airtelnews @airtelindia could not resolve my earlier complain has been mentioned in earlier twitt with complaint reference number but company has been not attention to my any complain. If Company not resolved my complain when India become #DigitalIndia ?
132,eventsocialin,RT @prosunjoyi: Flower delivery #startup Hoovu Fresh -that's creating value for the farmers and customers with their processing &amp; packaging…
133,hareee10,"RT @InvestIndiaUSA: #InvestInIndia 

#DidYouKnow: #NewIndia has the highest FinTech adoption rate globally!

Explore more: https://t.co/B4T…"
134,hitesh_narkhede,"RT @STPIPune: Congratulations M/s. MMF Systems (India) Pvt. Ltd., for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupI…"
135,hitesh_narkhede,"RT @STPIPune: Welcome, M/s. AXEMAN TECHNOLOGY SOLUTIONS LLP! Looking forward to a successful journey ahead. 
#GrowWithSTPI #DigitalIndia #S…"
136,hitesh_narkhede,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
137,Krishan221111,"RT @BSNL_RJ: Talk unlimited ( Local/STD) for 336 days .....
#RechargeNow with #BSNL #PV1499
BSNL Portal https://t.co/1Jh2Rr3H3f
BSNL Selfca…"
138,varunbhalla,"RT @ProvenirGlobal: @varunbhalla, Country Manager, India, shares his insights on why the growth of the #fintech sector in India is key for…"
139,ArunKum09212572,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
140,BalwanBalwan15,"RT @BishtHR31: New #DigitalCurrency for Us
Thank You @RBI for these Digital Currency 💵💵💵

Let's enjoy it🤑🤑🤑

#DigitalBharat #DigitalIndia h…"
141,cool_pareek,"RT @BSNL_RJ: Talk unlimited ( Local/STD) for 336 days .....
#RechargeNow with #BSNL #PV1499
BSNL Portal https://t.co/1Jh2Rr3H3f
BSNL Selfca…"
142,INDIAdrive21,"INDIA DRIVE #EDUCATION SEARCH 
#Search for #courses, #colleges, #scholarship and #online #certificates #Universities in #India

https://t.co/DRRLrTY2Ya

 #WestBengal #DigitalIndia 
https://t.co/ToEj1BRvHx"
143,epfosiliguri,"RT @socialepfo: #EPFO #Services on Digi Locker

#SocialSecurity #AmritMahotsav #DigiLocker #DigitalIndia https://t.co/K6dt46HP7w"
144,ComputerShiksh1,"connect@computershiksha.org

#DigitalLiteracy #Csr 
#Underprivilege #Children #socialsector #digitalskills #FutureReady #Csr 
#NonProfit #digitalinclusion #Schools #transformingindia #digitalindia #ComputerLab https://t.co/wlSriXaAtL"
145,BSNL_RJ,"Talk unlimited ( Local/STD) for 336 days .....
#RechargeNow with #BSNL #PV1499
BSNL Portal https://t.co/1Jh2Rr3H3f
BSNL Selfcare App https://t.co/yRKjVtxmB4
#BSNLMobileAnnualPlans #Entertainment #DigitalIndia #RuralIndia #Urbanlndia #ConnectingIndia #BSNLRecharge https://t.co/DMX7iwmIUM"
146,pronteff,"Let us be truthful and honest in order to have a corruption-free society to live in. International Anti-Corruption Day!
-
#pronteff #fullstackdevelopment #IBMpartners #redhatpartners #ibmtechnologies #digitaltransformation #digitalindia #ibmaspera #AntiCorruption #Corruptionfree https://t.co/9ECtFQRFuy"
147,LOHITHKUMARAMR1,"RT @KiranKS: Top ten states and top twelve cities of India, when it comes to Digital touch point translations.

#DigitalIndia 
#WorldLine h…"
148,BishtHR31,"New #DigitalCurrency for Us
Thank You @RBI for these Digital Currency 💵💵💵

Let's enjoy it🤑🤑🤑

#DigitalBharat #DigitalIndia https://t.co/ZCBSzFFaxH"
149,ProblemSolve__,RT @sethiaraj: Digital Infrastructure Services – Trends That Matter! https://t.co/vmYWv4sz8K via @VoicenData @SandeepMall @Monique_essence…
150,nyksnellore,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
151,IzardarKishan,"RT @CSCegov_: Study Symposium at #Goa...

Get 25% extra weightage by collecting your sourced policies renewal...

The Star VLE Achievers Ca…"
152,insurtechforum,"RT @InvestIndiaUSA: #InvestInIndia 

#DidYouKnow: #NewIndia has the highest FinTech adoption rate globally!

Explore more: https://t.co/B4T…"
153,An4n5Na1r,@UIDAIHyderabad @GoI_MeitY @mygovindia Yeah and when you apply for a simple address change it’s been more than a month with no damn actions or updates…just ask some random question and no response later…pathetic would be an understatement!! Indeed #digitalindia @narendramodi @PMOIndia 🤦🏻‍♂️
